,traj,step,speed,num_collisions,num_offroad_visits,action,intention,num_collisions_normalized,num_offroad_visits_normalized,speed_normalized,num_collisions_standradized,num_offroad_visits_standradized,speed_standradized
39,0,39,20.09263300884244,0,0,0,Safe,0.0,0.0,0.6697544336280817,-0.9705291554697062,-0.9633635546471497,-2.918828502151601
79,1,39,24.999930905584947,0,0,0,Safe,0.0,0.0,0.8333310301861654,-0.9705291554697062,-0.9633635546471497,-1.268296842034268
119,2,39,24.999875478926405,0,0,0,Safe,0.0,0.0,0.8333291826308806,-0.9705291554697062,-0.9633635546471497,-1.2683154843618099
159,3,39,20.000041121097208,0,0,0,Safe,0.0,0.0,0.6666680373699073,-0.9705291554697062,-0.9633635546471497,-2.9499710668397943
199,4,39,29.99392908296824,0,0,0,Safe,0.0,0.0,0.9997976360989419,-0.9705291554697062,-0.9633635546471497,0.4113957863286798
239,5,39,29.999999992055205,0,0,0,Safe,0.0,0.0,0.9999999997351741,-0.9705291554697062,-0.9633635546471497,0.41343768960510024
279,6,39,29.999999999999982,0,0,0,Safe,0.0,0.0,1.0,-0.9705291554697062,-0.9633635546471497,0.41343769227726457
319,7,39,22.225516446860546,0,0,0,Safe,0.0,0.0,0.7408505482286853,-0.9705291554697062,-0.9633635546471497,-2.2014496684505445
359,8,39,20.34273853997233,1,0,0,Safe,0.06666666666666667,0.0,0.6780912846657448,-0.7891218366903219,-0.9633635546471497,-2.834707442825986
399,9,39,28.17664713322832,0,1,0,Safe,0.0,0.05263157894736842,0.9392215711076113,-0.9705291554697062,-0.8195779494759334,-0.19983292986492357
439,10,39,29.999999999999982,0,11,1,Student,0.0,0.5789473684210527,1.0,-0.9705291554697062,0.6182781022362304,0.41343769227726457
479,11,39,29.999999999999982,0,10,0,Student,0.0,0.5263157894736842,1.0,-0.9705291554697062,0.474492497065014,0.41343769227726457
519,12,39,29.999999999999982,0,11,0,Student,0.0,0.5789473684210527,1.0,-0.9705291554697062,0.6182781022362304,0.41343769227726457
559,13,39,29.999999999999982,2,11,0,Student,0.13333333333333333,0.5789473684210527,1.0,-0.6077145179109374,0.6182781022362304,0.41343769227726457
599,14,39,29.999999999999982,0,8,0,Student,0.0,0.42105263157894735,1.0,-0.9705291554697062,0.18692128672258126,0.41343769227726457
639,15,39,29.999999999999982,0,12,0,Student,0.0,0.631578947368421,1.0,-0.9705291554697062,0.7620637074074468,0.41343769227726457
679,16,39,29.999999999999982,1,11,0,Student,0.06666666666666667,0.5789473684210527,1.0,-0.7891218366903219,0.6182781022362304,0.41343769227726457
719,17,39,29.999999999999982,0,10,0,Student,0.0,0.5263157894736842,1.0,-0.9705291554697062,0.474492497065014,0.41343769227726457
759,18,39,29.999999999999982,0,10,0,Student,0.0,0.5263157894736842,1.0,-0.9705291554697062,0.474492497065014,0.41343769227726457
799,19,39,29.999999999999982,0,15,-1,Student,0.0,0.7894736842105263,1.0,-0.9705291554697062,1.1934205229210961,0.41343769227726457
839,20,39,29.999999999999982,10,0,1,Demolition,0.6666666666666666,0.0,1.0,0.8435440323241372,-0.9633635546471497,0.41343769227726457
879,21,39,29.999999999999982,10,0,0,Demolition,0.6666666666666666,0.0,1.0,0.8435440323241372,-0.9633635546471497,0.41343769227726457
919,22,39,29.999999999999982,8,0,0,Demolition,0.5333333333333333,0.0,1.0,0.4807293947653686,-0.9633635546471497,0.41343769227726457
959,23,39,29.999999999999982,11,0,0,Demolition,0.7333333333333333,0.0,1.0,1.0249513511035215,-0.9633635546471497,0.41343769227726457
999,24,39,29.999999999999982,6,0,0,Demolition,0.4,0.0,1.0,0.11791475720659989,-0.9633635546471497,0.41343769227726457
1039,25,39,29.999999999999982,12,1,-1,Demolition,0.8,0.05263157894736842,1.0,1.2063586698829059,-0.8195779494759334,0.41343769227726457
1079,26,39,29.999999999999982,10,0,0,Demolition,0.6666666666666666,0.0,1.0,0.8435440323241372,-0.9633635546471497,0.41343769227726457
